game_id,queen_w,rooks_w,bishops_w,knights_w,pawns_w,queen_b,rooks_b,bishops_b,knights_b,pawns_b
zVy8vSUY,1,0,0,1,1,0,0,0,0,0
8BnZZrh0,1,1,0,0,0,0,2,1,0,0
AC29Y0QZ,0,0,1,1,0,0,0,0,0,0
baG5BS57,3,1,0,0,0,0,0,0,0,0
mqM87okc,0,0,0,0,0,2,1,2,1,0
EFpW3vx0,3,0,0,1,2,0,0,0,0,0
chF2YRye,0,0,0,1,0,0,0,0,0,0
fcSth1NQ,0,2,1,1,0,0,2,1,1,0
QaN8gaLJ,0,6,0,1,0,0,1,0,0,0
10EBI9C4,4,2,3,0,0,0,0,0,1,0
lB9L1Abn,0,0,0,0,0,1,0,0,0,0
MansOoLs,1,0,1,0,0,6,0,0,1,0
LoOOVZAH,0,0,0,0,0,0,3,3,1,0
dl0av9d5,0,0,0,0,0,0,0,0,0,0
d4xMZOC5,0,0,0,0,0,0,0,0,0,0
1SUJUo4j,1,0,0,1,0,0,0,0,0,0
jB4sleeL,0,4,2,0,0,0,3,0,0,0
PWuWxkJ8,1,0,0,0,0,0,0,0,0,0
BVyDHuGu,0,0,0,0,0,0,0,0,0,0
Z4o7C6VA,1,0,3,0,0,1,0,0,0,0
w2KVN2FJ,1,1,0,0,0,1,0,0,0,0
WKHjbO76,0,0,0,0,0,0,1,0,0,0
1BJPxwiB,0,0,2,0,0,0,0,0,0,0
vvb55zha,3,3,1,1,1,0,1,2,1,1
zoBW3Oyj,0,0,1,0,0,0,0,0,0,0
GEJJceaa,0,0,0,1,0,0,0,0,0,0
8vnfpuvR,0,1,2,1,0,3,8,0,0,0
yixfmhXd,4,0,0,0,0,1,0,0,0,0
cbOg2FrP,0,0,1,0,0,0,0,0,0,0
8Y69IrXa,0,0,2,0,0,0,0,0,0,0
vcsWHOAV,0,3,0,1,0,1,9,1,0,0
hTRfz8s0,0,0,0,0,0,0,0,0,0,0
MCOxDajD,2,2,0,0,1,2,0,1,0,0
54JuJMX6,0,1,2,0,0,2,0,0,0,0
dXEJ3q0T,1,0,1,0,0,1,0,0,2,0
JFWVAiVf,11,0,0,0,0,0,1,0,0,0
XSullLI4,0,0,0,0,0,0,2,1,0,0
3dacepVD,1,0,0,0,0,1,0,1,0,0
6ZCAhYCy,2,2,0,0,2,0,0,0,0,0
w8o0MVwI,2,2,0,1,0,0,0,0,0,0
VHKGizoA,0,0,1,0,0,5,1,3,0,0
Jyvxvrgj,0,0,0,0,0,0,0,0,0,0
YVKh1YbC,0,0,0,1,0,2,0,0,0,0
j0zF2Rd3,1,0,0,0,0,0,0,0,0,0
zg4gARxU,0,0,0,0,0,1,0,0,0,0
i2fmZSFo,0,0,1,0,0,1,0,1,2,1
SzuyCGM5,0,0,0,0,0,0,0,0,1,0
axW5yUZh,5,0,0,0,0,0,3,0,1,1
LoTC56CJ,0,0,0,0,0,0,0,0,0,0
