game_id,queen_w,rooks_w,bishops_w,knights_w,pawns_w,queen_b,rooks_b,bishops_b,knights_b,pawns_b
XIQf9SIh,0,0,0,0,0,0,0,0,0,0
OuIS4FNN,0,0,0,0,0,0,0,0,0,0
z9giThmb,0,0,0,0,0,0,0,0,0,0
D7IdxSxU,0,0,0,0,0,0,0,0,0,0
9GBMozBP,0,0,0,0,0,0,0,0,0,0
2QzCtrcW,0,0,0,0,0,0,0,0,0,0
sEcXEJ9L,0,0,0,0,0,0,0,0,0,0
S6KtfohL,0,1,0,0,0,0,0,0,0,0
gTLpXavu,0,0,0,0,0,0,0,0,0,0
JQNn9XKt,0,0,0,0,0,1,0,0,0,0
BeJqtwus,0,0,0,0,0,0,0,0,0,0
ywL2NCNe,0,0,0,0,0,0,0,0,0,0
zyxR3BC7,0,0,0,0,0,0,0,0,0,0
Wl8wU0aX,0,0,0,0,0,0,1,0,0,0
nQoDIKJ8,0,0,0,0,0,0,0,0,0,0
jnMSeLTg,0,0,0,0,0,0,0,0,0,0
nUnIw4oL,0,0,0,0,0,0,0,0,0,0
gBMlwn9a,1,0,0,0,0,0,0,0,0,0
ee7NNLjV,0,0,0,0,0,0,0,0,0,0
EU7dk3Ft,0,0,0,0,0,0,1,0,0,0
1LbkBTOz,1,0,0,0,0,0,0,0,0,0
qVdYipIv,0,0,0,0,0,0,0,0,0,0
QaXL5rpY,0,1,0,0,0,0,0,0,0,0
d0IF2U15,0,0,0,0,0,0,0,0,0,0
chlf7JID,0,0,0,0,0,0,1,0,0,0
AAlRlTTB,0,0,0,0,0,0,0,0,0,0
21OSICSo,0,0,0,0,0,0,0,0,0,0
sUE0YjP3,0,0,0,0,0,0,0,0,0,0
da8wW0qX,0,0,0,0,0,0,0,0,0,0
BaKWykxc,0,0,0,0,0,0,0,0,0,0
tYYO0yhb,0,0,0,0,0,0,0,0,0,0
ZVuJ0ApD,0,0,0,0,0,1,0,0,0,0
FnH8gd0r,0,0,0,0,0,0,0,0,0,0
LiBUY8E2,1,0,0,0,0,0,0,0,0,0
dHMUV0gb,0,0,0,0,0,0,0,1,0,0
myHtcwdY,0,0,0,0,0,0,0,0,0,0
DRQmItVp,0,0,0,0,0,0,0,0,0,0
J93dhN5S,0,0,0,0,0,0,0,0,0,0
VdiOK1m9,0,0,0,0,0,0,0,0,0,0
s7LQF9Eb,0,0,0,0,0,0,0,0,0,0
bTONnqOR,0,0,0,0,0,0,1,0,0,0
DVwqKpQW,0,0,0,0,0,0,0,0,0,0
UF5kLLJ6,0,0,0,0,0,0,0,0,0,0
