game_id,king_w,queen_w,rooks_w,bishops_w,knights_w,pawns_w,king_b,queen_b,rooks_b,bishops_b,knights_b,pawns_b
tTXUo1TQ,3,15,9,10,45,11,9,18,25,6,18,9
i3MOwltI,2,23,2,4,9,12,3,9,0,17,27,12
rElobFl9,5,2,33,9,39,10,7,2,24,30,12,15
XkF0jwDh,3,14,19,3,12,11,2,11,16,18,15,9
6zNIvBDY,5,11,15,6,9,11,3,12,6,9,12,7
3dCb1Kig,0,0,0,5,0,2,0,2,0,0,3,1
h1LT5nkq,0,0,0,0,0,3,0,3,0,0,0,2
NOEBXxG6,0,0,0,5,0,2,0,2,0,0,3,1
QtPZsZ6A,4,6,3,2,21,9,4,8,2,13,12,8
j7RwjO3t,0,0,0,0,0,2,0,0,0,0,0,1
PoktrRrc,15,9,43,11,33,21,20,2,54,6,30,16
LnUpRGmJ,6,7,15,13,24,8,5,0,29,5,9,9
m5cfaWE5,2,0,3,20,9,7,2,5,2,2,21,10
V3DSMpWu,2,4,7,10,9,10,2,2,3,10,12,7
9xiokMuZ,3,10,9,10,18,11,2,9,1,4,18,14
SNBI2VHN,2,21,7,9,15,5,7,3,7,10,12,13
XIQf9SIh,13,3,14,13,21,10,3,0,43,18,24,14
OuIS4FNN,3,11,11,9,18,12,3,14,21,9,24,7
z9giThmb,2,5,5,18,15,11,1,3,0,4,30,14
D7IdxSxU,2,11,7,6,15,10,2,5,9,3,15,11
9GBMozBP,2,4,5,5,21,12,2,2,5,8,9,9
2QzCtrcW,2,0,11,10,30,14,2,20,7,8,24,9
sEcXEJ9L,5,0,12,12,21,12,2,7,14,23,27,7
S6KtfohL,11,0,58,20,15,13,17,7,48,9,18,13
gTLpXavu,6,12,1,5,21,9,2,14,11,9,27,8
JQNn9XKt,11,21,16,10,12,22,14,21,27,8,6,13
BeJqtwus,4,3,3,8,3,7,2,6,2,11,9,8
ywL2NCNe,2,3,2,3,9,5,0,1,0,0,9,10
zyxR3BC7,3,11,14,11,12,10,2,12,4,3,18,8
Wl8wU0aX,2,3,12,8,33,13,2,4,26,6,6,14
nQoDIKJ8,2,4,2,4,6,5,0,0,0,6,9,7
jnMSeLTg,3,9,7,15,30,7,4,7,21,7,27,8
nUnIw4oL,12,1,22,6,27,14,3,8,24,13,24,19
gBMlwn9a,2,8,6,13,9,11,3,7,15,12,15,10
ee7NNLjV,2,3,6,8,30,13,2,5,6,8,27,10
EU7dk3Ft,4,5,5,15,12,16,2,6,20,8,12,14
1LbkBTOz,2,6,11,14,18,14,2,11,7,10,18,11
qVdYipIv,18,17,39,10,18,16,16,26,2,7,6,17
QaXL5rpY,1,8,11,7,21,10,3,2,5,19,12,13
d0IF2U15,2,11,4,15,27,5,4,4,8,1,27,11
chlf7JID,4,2,13,15,30,10,2,13,20,9,21,14
AAlRlTTB,3,1,5,12,9,7,2,9,2,6,27,3
21OSICSo,2,0,11,1,27,9,2,2,14,2,12,13
sUE0YjP3,6,6,12,14,9,16,5,12,25,9,36,8
da8wW0qX,4,7,5,10,24,10,3,2,4,5,18,6
tYYO0yhb,2,23,0,13,6,9,5,4,18,3,9,10
ZVuJ0ApD,3,0,4,7,18,18,3,17,4,18,9,9
FnH8gd0r,22,2,28,10,12,14,3,5,42,20,21,15
LiBUY8E2,3,14,1,5,18,12,4,14,2,12,12,11
dHMUV0gb,3,0,6,18,9,12,3,5,3,10,18,10
myHtcwdY,3,4,24,9,30,4,4,18,10,12,15,4
DRQmItVp,2,14,6,11,9,7,2,7,0,5,6,8
J93dhN5S,3,14,3,10,15,11,2,6,8,25,6,7
VdiOK1m9,3,6,9,7,9,10,2,8,2,10,15,3
s7LQF9Eb,3,18,12,10,24,17,3,21,11,6,9,17
bTONnqOR,14,7,26,13,12,16,8,3,39,10,24,12
DVwqKpQW,4,17,7,7,12,20,2,6,22,6,30,12
UF5kLLJ6,29,6,37,10,33,13,6,1,102,23,6,17
3V0sW8tf,8,5,64,6,9,24,22,2,37,6,12,18
q8T7WJxQ,11,23,22,8,12,12,4,17,15,18,33,11
9YbP9YwA,2,1,2,11,3,8,2,0,6,9,9,7
YiNMLNGe,3,13,40,8,12,13,4,11,17,6,24,12
DIaiFY31,7,22,3,12,18,11,10,6,1,7,30,10
K3f5S9ia,8,19,10,10,9,13,2,21,13,4,24,12
oHrmuWyr,2,1,5,11,6,13,1,6,0,8,9,14
L7NHZKaG,2,6,5,13,15,11,3,8,9,5,15,11
KX7BFM5m,2,7,4,12,9,10,0,14,4,6,12,11
Ke0UHI5I,13,0,16,7,21,17,4,7,22,12,48,13
VY9G8h1m,4,3,5,10,6,8,2,5,3,9,12,4
LS4RMDpe,9,5,32,19,21,22,7,8,46,16,21,11
1e4niPaR,2,12,0,3,12,5,2,7,9,9,15,4
TESBQ2sX,3,2,14,8,15,9,2,10,2,11,18,11
TnjWrqbU,2,16,2,13,6,8,2,2,7,6,30,4
IF4gZmmC,2,1,10,10,15,10,2,12,3,13,6,9
jnTsgyTM,17,2,21,7,12,20,19,11,7,8,12,16
h0FdApaR,6,6,8,6,15,8,2,6,5,7,12,11
EFZgd8oI,12,10,14,20,42,5,8,7,17,8,18,21
leo1zOKV,25,12,37,8,9,19,6,31,31,22,36,15
DwRtleWc,16,7,15,7,12,12,3,13,41,7,9,15
HWSJ3f4j,2,7,3,10,30,6,4,21,1,7,3,8
uU4fXHu9,2,6,4,12,15,5,4,2,2,9,6,8
soDo4VE4,5,20,21,9,15,7,4,6,6,8,27,17
pfc2ImAB,0,6,2,10,12,8,2,3,2,3,18,9
cxD7gzWt,2,13,2,6,6,8,5,3,0,5,15,6
i9ys4Ygg,26,7,21,17,12,13,15,0,7,12,30,23
LViMedKO,4,3,4,3,12,11,2,6,4,8,24,6
q2ozoGp9,2,2,2,4,15,12,3,10,2,5,24,7
f8wYX7hz,2,17,18,13,21,15,3,4,24,4,24,14
WWeYP7fa,14,4,9,25,12,20,3,9,19,25,30,18
6zUa3HAE,7,5,10,5,15,13,3,12,17,17,6,6
s3CeEQvz,9,22,18,21,6,17,11,12,16,11,21,16
WYl1FChP,7,8,14,10,6,17,2,26,14,11,12,10
J5EIL5l9,13,36,50,10,12,16,9,17,50,6,21,19
t0Iymhre,4,7,20,9,21,15,3,5,17,13,12,16
59XhCtgx,3,4,25,15,9,8,5,3,12,16,12,11
XdZy4FhF,1,5,0,5,3,7,2,12,3,5,3,4
tUD5zDmN,4,11,5,11,9,7,2,21,7,12,9,7
gZPdcZY8,6,11,32,26,15,14,9,13,10,7,45,10
uESju2Bb,3,11,8,4,21,9,3,5,12,13,30,8
fWg9tuL2,0,10,3,10,15,7,2,8,4,8,9,7
5C6lbi13,5,45,24,12,27,14,13,17,17,14,6,13
MFvG5aPz,2,3,6,17,21,14,2,3,20,12,12,14
RCRw45F2,4,9,15,11,9,9,5,8,8,8,9,11
DeH0VB7V,5,6,8,7,18,9,4,4,14,18,12,6
ggNTTpSU,10,1,53,3,27,7,8,6,35,16,18,13
xZfb2h0a,3,19,35,13,15,12,5,5,8,18,24,17
U6VUNHEa,4,16,9,6,27,13,3,8,15,12,18,12
nXRDTi2h,8,12,22,14,18,10,9,9,34,13,15,11
68r6Xi8I,4,2,5,11,18,8,0,8,3,6,12,10
tZcpg70W,1,14,10,10,30,11,7,16,6,6,21,7
zzZHnN42,3,16,3,11,27,9,4,4,7,6,24,11
Jf9ms4cp,12,30,15,15,12,18,14,17,58,17,21,9
4y27HIE1,7,14,5,16,15,9,4,19,11,3,6,14
8kaPB8V1,3,11,10,10,9,15,3,12,10,5,6,14
nBqeu47i,2,4,5,18,9,10,2,8,10,8,12,12
dnSvz91D,2,13,17,9,12,11,3,22,9,12,21,9
O69Ic64X,3,5,6,13,27,10,6,8,10,7,18,11
yagyocZ5,5,1,5,9,24,10,3,5,2,8,6,12
5qEH2GdI,4,20,23,16,15,17,9,14,31,16,15,26
Jvv5QWKY,4,7,13,5,15,8,2,19,2,2,15,9
gkpoVjhW,2,18,16,7,18,14,2,23,12,5,9,13
TerkVVJ6,4,17,5,5,9,8,0,21,5,6,12,5
CQmWpW3z,3,11,4,10,30,10,4,10,31,10,12,9
OALsBvZ4,5,5,5,10,15,9,4,6,10,13,9,8
7l0e3JUX,5,7,9,9,18,8,2,9,12,11,12,6
bwf85wcY,3,7,6,12,24,14,2,10,7,27,12,11
EAyElHDL,5,2,17,11,21,8,2,5,2,20,39,9
SYdWFHVM,2,3,3,7,21,6,4,2,0,4,12,4
HJVDilnF,4,33,22,10,27,15,16,19,25,14,12,13
ErlN2GUt,2,13,2,14,9,5,5,9,2,1,3,9
rUIEe34e,7,13,8,13,27,16,12,0,18,11,27,13
8hvLQQck,10,7,11,11,12,19,6,0,12,13,30,14
nOFBpuee,12,20,9,11,15,13,3,18,14,3,33,12
